GEOID,co_name,torn_evt,torn_dth,torn_inj,hail_evt,hail_dth,hail_inj,flod_evt,flod_dth,flod_inj
55111,Sauk,33,0,4,104,0,0,60,1,0
55093,Pierce,27,0,1,89,0,0,16,0,0
55063,La Crosse,22,0,1,133,0,0,40,0,0
55033,Dunn,26,0,9,90,0,0,13,0,0
55053,Jackson,18,0,0,83,0,0,33,0,3
55047,Green Lake,41,1,4,57,0,4,14,0,0
55127,Walworth,30,0,0,76,0,0,31,0,0
55123,Vernon,30,0,1,100,0,0,95,1,0
55059,Kenosha,10,0,15,42,0,0,51,0,0
55079,Milwaukee,25,0,16,64,0,0,57,1,1
55003,Ashland,14,0,0,49,0,0,13,0,0
55085,Oneida,28,3,21,104,0,0,15,0,0
55137,Waushara,27,1,30,63,0,1,16,0,0
55129,Washburn,9,0,0,60,0,0,4,0,0
55065,Lafayette,33,0,12,53,0,0,36,0,0
55135,Waupaca,24,0,2,77,0,0,15,0,0
55125,Vilas,16,0,3,74,0,0,8,0,0
55089,Ozaukee,5,0,0,38,0,0,25,0,1
55117,Sheboygan,10,0,0,35,0,0,27,0,0
55131,Washington,19,0,2,61,0,0,19,0,0
55007,Bayfield,7,0,2,59,0,0,7,0,0
55097,Portage,31,0,0,69,0,1,16,0,0
55039,Fond du Lac,47,1,14,54,0,0,23,0,0
55061,Kewaunee,12,0,0,39,0,2,5,0,0
55067,Langlade,17,0,3,39,0,0,7,0,0
55105,Rock,35,0,0,99,0,0,53,0,3
55023,Crawford,17,0,0,73,0,0,71,0,0
55035,Eau Claire,27,2,25,85,0,0,15,1,1
55083,Oconto,12,0,2,50,0,1,13,0,0
55041,Forest,6,0,3,51,0,0,5,0,0
55113,Sawyer,11,0,0,69,0,1,9,0,0
55121,Trempealeau,30,0,0,108,0,0,23,0,0
55095,Polk,41,0,1,72,0,0,12,0,0
55045,Green,28,0,0,60,0,0,57,0,1
55087,Outagamie,23,0,9,103,0,0,21,0,0
55001,Adams,26,2,35,76,0,0,7,0,0
55119,Taylor,13,0,0,67,0,0,13,0,0
55073,Marathon,56,0,3,144,0,0,29,0,0
55037,Florence,4,0,0,18,0,0,8,0,0
55005,Barron,44,0,0,127,0,0,14,0,0
55051,Iron,6,0,3,15,0,0,7,0,0
55081,Monroe,25,0,4,142,0,0,24,0,0
55101,Racine,25,0,3,76,0,0,48,1,0
55115,Shawano,19,0,0,44,0,0,11,0,0
55027,Dodge,61,0,1,107,0,0,38,0,0
55025,Dane,81,2,61,238,0,0,80,0,0
55015,Calumet,25,0,0,66,0,0,16,0,0
55055,Jefferson,37,0,1,109,0,0,49,0,0
55013,Burnett,15,2,16,79,0,0,8,0,0
55017,Chippewa,38,0,0,91,0,0,13,0,0
55031,Douglas,12,0,0,51,0,0,12,0,0
55077,Marquette,25,0,0,61,0,2,8,0,0
55009,Brown,28,0,0,71,0,0,16,0,0
55103,Richland,14,0,3,62,0,0,36,0,0
55141,Wood,26,0,15,76,0,0,30,0,0
55139,Winnebago,37,1,10,96,0,0,24,0,0
55069,Lincoln,30,0,2,62,0,0,11,0,0
55091,Pepin,6,0,6,31,0,0,14,0,0
55049,Iowa,28,9,200,55,0,0,23,0,0
55075,Marinette,23,1,1,66,0,0,15,0,0
55099,Price,30,0,27,125,0,0,4,0,0
55043,Grant,64,0,3,177,0,0,75,0,0
55021,Columbia,39,0,7,97,0,0,38,0,0
55019,Clark,37,0,4,106,0,0,24,0,0
55109,St. Croix,35,0,0,102,0,0,16,0,0
55057,Juneau,31,2,39,109,0,0,19,0,0
55107,Rusk,17,0,28,58,0,0,10,0,1
55133,Waukesha,39,1,30,129,0,0,55,3,1
55011,Buffalo,18,0,7,97,0,0,28,0,0
55078,Menominee,3,0,0,11,0,0,3,0,0
55071,Manitowoc,25,0,2,41,0,30,19,0,0
55029,Door,8,0,2,63,0,0,8,0,0
